version,seconds,cpu,processes,mem_used_mb,memused_percent
v1,296.684,0.46,1,290.59,0.02
v1,297.259,0.34,1,290.93,0.02
v1,297.842,0.22,1,290.93,0.02
v1,298.417,0.46,1,291.0,0.02
v1,299.018,0.54,1,291.0,0.02
v1,299.596,0.4,1,291.0,0.02
v1,300.169,0.44,1,291.0,0.02
v1,300.75,0.48,1,291.0,0.02
v1,301.326,0.42,1,291.0,0.02
v1,301.903,0.46,1,291.0,0.02
v1,302.481,0.42,1,291.0,0.02
v1,303.059,0.4,1,291.0,0.02
v1,303.637,0.38,1,291.0,0.02
v1,304.217,0.42,1,291.0,0.02
v1,304.792,0.44,1,291.0,0.02
v1,305.371,0.42,1,291.0,0.02
v1,305.946,0.42,1,291.0,0.02
v1,306.523,0.4,1,291.0,0.02
v1,307.103,0.34,1,291.0,0.02
v1,307.681,0.32,1,291.0,0.02
v1,308.257,0.26,1,291.0,0.02
v1,308.836,0.46,1,291.25,0.02
v1,309.412,0.42,1,291.25,0.02
v1,309.993,0.48,1,291.68,0.02
v1,310.585,0.36,1,291.68,0.02
v1,311.167,0.36,1,291.68,0.02
v1,311.75,0.4,1,291.68,0.02
v1,312.335,0.34,1,291.68,0.02
v1,312.912,0.46,1,291.69,0.02
v1,313.493,0.42,1,291.69,0.02
v1,314.071,0.4,1,291.84,0.02
v1,314.657,0.36,1,291.84,0.02
v1,315.235,0.38,1,291.84,0.02
v1,315.81,0.5,1,291.84,0.02
v1,316.39,0.44,1,291.84,0.02
v1,316.966,0.34,1,291.86,0.02
v1,317.543,0.14,1,291.86,0.02
v1,318.122,0.12,1,291.86,0.02
v1,318.704,0.32,1,291.86,0.02
v1,319.307,0.4,1,291.86,0.02
v1,319.885,0.42,1,291.86,0.02
v1,320.46,0.48,1,292.05,0.02
v1,321.044,0.5,1,294.69,0.02
v1,321.619,0.38,1,294.69,0.02
v1,322.196,0.5,1,294.69,0.02
v1,322.775,0.36,1,294.69,0.02
v1,323.363,0.4,1,294.69,0.02
v1,323.947,0.46,1,294.42,0.02
v1,324.527,0.38,1,294.42,0.02
v1,325.101,0.38,1,294.42,0.02
v1,325.682,0.38,1,294.42,0.02
v1,326.258,0.44,1,294.42,0.02
v1,326.837,0.42,1,294.42,0.02
v1,327.416,0.2,1,294.42,0.02
v1,327.993,0.36,1,294.16,0.02
v1,328.576,0.38,1,294.16,0.02
v1,329.156,0.42,1,294.16,0.02
v1,329.734,0.48,1,294.16,0.02
v1,330.313,0.36,1,294.16,0.02
v1,330.892,0.4,1,294.16,0.02
v1,331.466,0.4,1,294.16,0.02
v1,332.045,0.46,1,294.16,0.02
v1,332.621,0.3,1,294.16,0.02
v1,333.197,0.42,1,294.16,0.02
v1,333.776,0.42,1,294.16,0.02
v1,334.353,0.4,1,294.16,0.02
v1,334.937,0.42,1,294.16,0.02
v1,335.512,0.38,1,294.16,0.02
v1,336.087,0.36,1,294.16,0.02
v1,336.667,0.42,1,294.16,0.02
v1,337.245,0.38,1,294.16,0.02
v1,337.82,0.24,1,294.16,0.02
v1,338.4,0.2,1,294.16,0.02
v1,338.976,0.38,1,294.16,0.02
v1,339.566,0.46,1,294.16,0.02
v1,340.15,0.44,1,294.16,0.02
v1,340.727,0.42,1,294.16,0.02
v1,341.307,0.44,1,294.62,0.02
v1,341.883,0.36,1,294.62,0.02
v1,342.457,0.44,1,294.62,0.02
v1,343.036,0.46,1,294.62,0.02
v1,343.612,0.38,1,294.62,0.02
v1,344.188,0.4,1,294.62,0.02
v1,344.767,0.36,1,294.62,0.02
v1,345.343,0.42,1,294.62,0.02
v1,345.923,0.38,1,294.62,0.02
v1,346.499,0.32,1,294.62,0.02
v1,347.075,0.3,1,294.62,0.02
v1,347.652,0.22,1,294.62,0.02
v1,348.228,0.34,1,294.62,0.02
v1,348.804,0.44,1,294.62,0.02
v1,349.384,0.42,1,294.62,0.02
v1,349.957,0.4,1,294.62,0.02
v1,350.541,0.38,1,294.62,0.02
v1,351.116,0.34,1,294.62,0.02
v1,351.695,0.4,1,294.62,0.02
v1,352.274,0.52,1,294.62,0.02
v1,352.859,0.38,1,294.62,0.02
v1,353.436,0.52,1,294.62,0.02
v1,354.017,0.42,1,294.62,0.02
v1,354.595,0.48,1,294.62,0.02
v1,355.187,0.34,1,294.62,0.02
v1,355.764,0.36,1,294.62,0.02
v1,356.339,0.42,1,294.62,0.02
v1,356.921,0.42,1,294.62,0.02
v1,357.497,0.2,1,294.62,0.02
v1,358.074,0.24,1,294.62,0.02
v1,358.652,0.36,1,294.62,0.02
v1,359.229,0.48,1,294.62,0.02
v1,359.807,0.46,1,294.62,0.02
v1,360.389,0.48,1,294.62,0.02
v1,360.965,0.38,1,295.15,0.02
v1,361.546,0.34,1,295.15,0.02
v1,362.121,0.32,1,295.15,0.02
v1,362.697,0.48,1,295.15,0.02
v1,363.279,0.32,1,295.15,0.02
v1,363.854,0.38,1,295.15,0.02
v1,364.433,0.36,1,295.15,0.02
v1,365.011,0.5,1,295.41,0.02
v1,365.589,0.36,1,295.41,0.02
v1,366.169,0.46,1,295.93,0.02
v1,366.747,0.42,1,295.93,0.02
v1,367.324,0.3,1,295.93,0.02
v1,367.904,0.26,1,295.93,0.02
v1,368.481,0.36,1,295.93,0.02
v1,369.06,0.52,1,295.93,0.02
v1,369.642,0.44,1,295.93,0.02
v1,370.22,0.36,1,295.93,0.02
v1,370.811,0.42,1,295.93,0.02
v1,371.389,0.4,1,295.93,0.02
v1,371.963,0.42,1,295.93,0.02
v1,372.546,0.44,1,295.93,0.02
v1,373.122,0.44,1,295.93,0.02
v1,373.699,0.4,1,295.93,0.02
v1,374.279,0.36,1,295.93,0.02
v1,374.857,0.38,1,295.93,0.02
v1,375.44,0.5,1,296.36,0.02
v1,376.02,0.5,1,296.36,0.02
v1,376.597,0.4,1,296.36,0.02
v1,377.177,0.36,1,296.36,0.02
v1,377.752,0.32,1,296.36,0.02
v1,378.335,0.34,1,296.36,0.02
v1,378.915,0.42,1,296.36,0.02
v1,379.5,0.42,1,296.36,0.02
v1,380.08,0.44,1,296.36,0.02
v1,380.661,0.36,1,296.36,0.02
v1,381.237,0.32,1,296.36,0.02
